GEO_ID,NAME,year,total_renters_count,GRAPI_under_15_count,GRAPI_15_to_19.9_count,GRAPI_20_to_24.9_count,GRAPI_25_to_29.9_count,GRAPI_30_to_35_count,GRAPI_35_or_greater_count,GRAPI_unknown_count
1400000US06013339001,Census Tract 3390.01; Contra Costa County; California,2010,212,293,171,126,774,22,,
1400000US06013339002,"Census Tract 3390.02, Contra Costa County, California",2010,362,332,125,149,631,9,,
1400000US06013340001,Census Tract 3400.01; Contra Costa County; California,2010,118,105,141,115,423,13,,
1400000US06013340002,"Census Tract 3400.02, Contra Costa County, California",2010,89,39,138,48,215,67,,
1400000US06013341000,Census Tract 3410; Contra Costa County; California,2010,54,119,9,94,241,0,,
1400000US06013343001,Census Tract 3430.01; Contra Costa County; California,2010,172,80,219,78,272,27,,
1400000US06013343002,Census Tract 3430.02; Contra Costa County; California,2010,77,0,78,74,145,51,,
1400000US06013343003,Census Tract 3430.03; Contra Costa County; California,2010,9,17,0,31,76,0,,
1400000US06013345101,Census Tract 3451.01; Contra Costa County; California,2010,71,131,53,13,186,35,,
1400000US06013345102,Census Tract 3451.02; Contra Costa County; California,2010,72,55,11,0,31,0,,
1400000US06013345103,Census Tract 3451.03; Contra Costa County; California,2010,46,25,22,8,280,53,,
1400000US06013345105,Census Tract 3451.05; Contra Costa County; California,2010,88,10,54,58,158,0,,
1400000US06013345108,"Census Tract 3451.08, Contra Costa County, California",2010,157,139,52,103,134,74,,
1400000US06013345111,Census Tract 3451.11; Contra Costa County; California,2010,173,179,132,11,140,13,,
1400000US06013345112,Census Tract 3451.12; Contra Costa County; California,2010,78,175,141,70,267,117,,
1400000US06013345113,Census Tract 3451.13; Contra Costa County; California,2010,0,16,5,0,89,0,,
1400000US06013345114,Census Tract 3451.14; Contra Costa County; California,2010,71,25,43,0,50,0,,
1400000US06013345115,Census Tract 3451.15; Contra Costa County; California,2010,23,0,11,0,34,0,,
1400000US06013345116,Census Tract 3451.16; Contra Costa County; California,2010,57,29,0,48,40,0,,
1400000US06013345202,"Census Tract 3452.02, Contra Costa County, California",2010,216,149,182,73,315,97,,
1400000US06013345203,Census Tract 3452.03; Contra Costa County; California,2010,127,57,60,33,191,62,,
1400000US06013345204,Census Tract 3452.04; Contra Costa County; California,2010,0,0,14,0,0,0,,
1400000US06013346101,Census Tract 3461.01; Contra Costa County; California,2010,0,26,0,19,20,7,,
1400000US06013346102,Census Tract 3461.02; Contra Costa County; California,2010,11,0,0,12,45,0,,
1400000US06013346201,"Census Tract 3462.01, Contra Costa County, California",2010,29,17,0,0,176,0,,
1400000US06013346203,Census Tract 3462.03; Contra Costa County; California,2010,32,0,0,0,61,15,,
1400000US06013346204,Census Tract 3462.04; Contra Costa County; California,2010,42,19,15,0,90,32,,
1400000US06013347000,Census Tract 3470; Contra Costa County; California,2010,22,48,11,0,77,0,,
1400000US06013348000,Census Tract 3480; Contra Costa County; California,2010,7,16,0,28,64,19,,
1400000US06013349000,Census Tract 3490; Contra Costa County; California,2010,118,73,122,35,279,12,,
1400000US06013350000,Census Tract 3500; Contra Costa County; California,2010,238,165,51,44,311,0,,
1400000US06013351101,Census Tract 3511.01; Contra Costa County; California,2010,0,0,0,0,68,0,,
1400000US06013351102,"Census Tract 3511.02, Contra Costa County, California",2010,0,26,0,0,184,63,,
1400000US06013351103,Census Tract 3511.03; Contra Costa County; California,2010,0,0,0,0,24,42,,
1400000US06013351200,Census Tract 3512; Contra Costa County; California,2010,56,0,0,20,19,12,,
1400000US06013352101,Census Tract 3521.01; Contra Costa County; California,2010,0,13,0,0,39,9,,
1400000US06013352102,Census Tract 3521.02; Contra Costa County; California,2010,11,69,33,0,16,7,,
1400000US06013352201,Census Tract 3522.01; Contra Costa County; California,2010,21,67,72,25,258,5,,
1400000US06013352202,Census Tract 3522.02; Contra Costa County; California,2010,39,26,35,18,88,11,,
1400000US06013353001,Census Tract 3530.01; Contra Costa County; California,2010,0,0,12,0,35,11,,
1400000US06013353002,Census Tract 3530.02; Contra Costa County; California,2010,0,0,20,7,38,0,,
1400000US06013354001,Census Tract 3540.01; Contra Costa County; California,2010,0,0,16,0,21,0,,
1400000US06013354002,Census Tract 3540.02; Contra Costa County; California,2010,0,10,17,26,155,0,,
1400000US06013355107,Census Tract 3551.07; Contra Costa County; California,2010,12,0,0,0,76,0,,
1400000US06013355108,"Census Tract 3551.08, Contra Costa County, California",2010,65,0,11,30,419,38,,
1400000US06013355109,Census Tract 3551.09; Contra Costa County; California,2010,22,9,0,0,92,13,,
1400000US06013355110,Census Tract 3551.10; Contra Costa County; California,2010,27,32,54,71,191,23,,
